index,types
establishment,16306
of,16302
interest,16274
point,16274
store,6027
food,1709
health,1067
car,1031
contractor,868
general,849
repair,830
home,750
goods,732
restaurant,686
finance,558
lodging,448
cafe,443
supermarket,429
school,383
agency,376
beauty,353
salon,353
furniture,336
clothing,312
station,307
or,288
grocery,288
bar,250
pharmacy,245
care,242
transit,235
atm,209
real,196
estate,196
hair,171
electronics,165
meal,140
travel,137
dentist,123
gym,111
liquor,107
attraction,106
tourist,106
dealer,104
hospital,103
office,94
moving,91
company,91
delivery,89
drugstore,88
shoe,82
accounting,82
spa,79
florist,76
veterinary,71
doctor,70
storage,66
bank,62
jewelry,60
university,60
gas,59
local,58
park,58
government,58
pet,57
wash,57
takeaway,51
laundry,46
lawyer,44
bakery,44
rental,43
insurance,43
secondary,41
club,38
night,38
shopping,36
post,36
mall,36
feature,32
natural,32
hardware,30
place,28
worship,28
plumber,25
electrician,25
police,21
political,20
museum,19
church,19
roofing,19
funeral,18
book,18
locality,13
parking,12
locksmith,12
courthouse,11
sublocality,10
library,9
cemetery,9
bus,8
premise,8
convenience,7
department,6
painter,6
movie,6
amusement,5
level,5
stadium,5
art,4
fire,4
alley,4
bowling,4
2,4
gallery,4
bicycle,4
theater,3
town,3
square,3
airport,3
primary,2
zoo,2
neighborhood,2
embassy,1
light,1
rail,1
1,1
