id,index,types
0,establishment,16306
1,point_of_interest,16274
2,store,4111
3,food,1709
4,health,1067
5,general_contractor,849
6,car_repair,830
7,home_goods_store,732
8,restaurant,686
9,finance,558
10,lodging,448
11,cafe,443
12,beauty_salon,353
13,school,340
14,furniture_store,336
15,clothing_store,312
16,grocery_or_supermarket,288
17,bar,250
18,pharmacy,245
19,transit_station,235
20,atm,209
21,real_estate_agency,196
22,hair_care,171
23,electronics_store,165
24,supermarket,141
25,travel_agency,137
26,dentist,123
27,gym,111
28,liquor_store,107
29,tourist_attraction,106
30,car_dealer,104
31,hospital,103
32,moving_company,91
33,meal_delivery,89
34,drugstore,88
35,accounting,82
36,shoe_store,82
37,spa,79
38,florist,76
39,veterinary_care,71
40,doctor,70
41,storage,66
42,bank,62
43,university,60
44,jewelry_store,60
45,gas_station,59
46,local_government_office,58
47,pet_store,57
48,car_wash,57
49,park,53
50,meal_takeaway,51
51,laundry,46
52,lawyer,44
53,bakery,44
54,insurance_agency,43
55,secondary_school,41
56,car_rental,40
57,night_club,38
58,post_office,36
59,shopping_mall,36
60,natural_feature,32
61,hardware_store,30
62,place_of_worship,28
63,plumber,25
64,electrician,25
65,police,21
66,political,20
67,roofing_contractor,19
68,church,19
69,museum,19
70,book_store,18
71,funeral_home,18
72,locality,13
73,locksmith,12
74,parking,12
75,courthouse,11
76,cemetery,9
77,library,9
78,bus_station,8
79,premise,8
80,convenience_store,7
81,department_store,6
82,painter,6
83,amusement_park,5
84,stadium,5
85,sublocality,5
86,bicycle_store,4
87,bowling_alley,4
88,art_gallery,4
89,fire_station,4
90,sublocality_level_2,4
91,town_square,3
92,movie_theater,3
93,airport,3
94,movie_rental,3
95,primary_school,2
96,neighborhood,2
97,zoo,2
98,embassy,1
99,light_rail_station,1
100,sublocality_level_1,1
